MASTER COPY		ODD YEARS (If 2-year Cycle)			EVEN YEARS (If 2-year Cycle)		
DATE	HOLY DAY	MP PSALM	MP LESSON 1	MP LESSON 2	EP PSALM	EP LESSON 1	EP LESSON 2
09-20		52, 53, 54	1 Kings 11 † 1-14,23-33,41-43	Heb 10:1-18	55	Hag 2	Matt 15:1-28
09-21	Matthew	56, 57	Heb 10:19-end	Matt 9:9-13	58, 60	Zech 1	Matt 15:29—16:12
09-22		59	1 Kings 12 † 1-20,25-30	Heb 11	63, 64	Zech 2	Matt 16:13-end
09-23		61, 62	1 Kings 13 † 1-25,33-34	Heb 12:1-17	65, 67	Zech 3	Matt 17:1-23
09-24		68:1-18	1 Kings 14	Heb 12:18-end	68:19-36	Zech 4	Matt 17:24—18:14
09-25		69:1-18	2 Chron 12	Heb 13	69:19-38	Zech 5	Matt 18:15-end
09-26		66	2 Chron 13	Jas 1	70, 72	Zech 6	Matt 19:1-15
09-27		71	2 Chron 14	Jas 2:1-13	73	Zech 7	Matt 19:16—20:16
09-28		74	2 Chron 15	Jas 2:14-end	77	Zech 8	Matt 20:17-end
09-29	Michael & All Angels	75, 76	Rev 12:7-12	Jas 3	79, 82	Zech 9	Matt 21:1-22
09-30		78:1-18	2 Chron 16	Jas 4	78:19-40	Zech 10	Matt 21:23-end
10-01		78:41-73	1 Kings 15 † 1-30	Jas 5	80	Zech 11	Matt 22:1-33
10-02		81	1 Kings 16 † 1-4,8-19,23-34	1 Pet 1:1-21	83	Zech 12	Matt 22:34—23:12
10-03		84	1 Kings 17	1 Pet 1:22—2:10	85	Zech 13	Matt 23:13-end
